bike_id,vehicle_type_id,lat,lon,date,fill_color
pony_0aa2d3516a5e4f598c999b78cbcb6a5d,scooter,47.47947,-0.54202,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_152b44bf58134ec7916da2f4bdff6984,scooter,47.47899,-0.56422,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_78d6df97e3dd404e9268cbbccb1de762,scooter,47.4699,-0.54769,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_8a58f87d58824a6383bb617154175634,scooter,47.482,-0.57846,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_1cb41f0052e844839775d2f1acc78a97,scooter,47.48803,-0.54452,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_4fba110f38b4480c967c5acc9367651a,scooter,47.48386,-0.62831,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_5c7e07488e954c1b8b634beb5f15f921,scooter,47.4713,-0.54641,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_7f3b4fa218ab4ebdbf6b12d4519e650b,scooter,47.46952,-0.54764,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_7283abb3beca442f8024470802efb550,scooter,47.46492,-0.55721,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_4536c0e9c6a846eeb50999af1018c9ea,scooter,47.46984,-0.5477,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_37954623e3384278bce358581845639e,scooter,47.46481,-0.55719,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_206478d8a54d4e4a87db057af4668c60,scooter,47.46724,-0.54487,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_ff26bccc8c31476e96fbfa0dbb118f47,scooter,47.47705,-0.58821,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_d884753c88754ae1ae4aba8235bdcc25,scooter,47.4719,-0.55498,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_995e63cb5c134537b21b7157f444ad72,scooter,47.49999,-0.4904,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_9e39fbffd07d4ca782a3f28957a0f6a2,scooter,47.46484,-0.55724,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_7a069fba814e4fd99ee588a727be8aef,scooter,47.4597,-0.59654,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_c7f11f36a6b54ea5b09f0050c20a7e91,scooter,47.46854,-0.55439,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_84837894bdfb4cd1bdc406f4d599e05f,scooter,47.4925,-0.56763,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_39192a08cbfd45afa45a6eb46421c3d5,scooter,47.45773,-0.54317,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
pony_aff575ff02b5496895c11d9705101f7a,scooter,47.45833,-0.55393,2023-08-15 12:20:01.858408+02:00,"[10, 255, 255]"
